:ID,:LABEL,id:ID,name,name_zh,type,universe,level:INT
ACT.creative_hobbies,Node;ACTIVITY,ACT.creative_hobbies,Creative & Media Hobbies,创作与媒体爱好,ACTIVITY,ACTIVITIES,1
ACT.creative_hobbies.amateur_filmmaking,Node;ACTIVITY,ACT.creative_hobbies.amateur_filmmaking,Amateur Filmmaking,业余电影制作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.amateur_filmmaking.short_film_making,Node;ACTIVITY,ACT.creative_hobbies.amateur_filmmaking.short_film_making,Short Film Making,短片制作,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_filmmaking.stop_motion_animation,Node;ACTIVITY,ACT.creative_hobbies.amateur_filmmaking.stop_motion_animation,Stop Motion Animation,定格动画,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography,Amateur Photography,业余摄影,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.amateur_photography.landscape_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography.landscape_photography,Landscape Photography,风光摄影,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_photography.macro_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography.macro_photography,Macro Photography,微距摄影,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_photography.portrait_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography.portrait_photography,Portrait Photography,人像摄影,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_photography.street_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography.street_photography,Street Photography,街拍,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.amateur_photography.wildlife_photography,Node;ACTIVITY,ACT.creative_hobbies.amateur_photography.wildlife_photography,Wildlife Photography,野生动物摄影,ACTIVITY,ACTIVITIES,3
ACT.creative_hobbies.animation_hobby,Node;ACTIVITY,ACT.creative_hobbies.animation_hobby,Animation Hobby,业余动画,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.blogging,Node;ACTIVITY,ACT.creative_hobbies.blogging,Blogging,博客写作,ACTIVITY,ACTIVITIES,2
ACT.creative_hobbies.comic_zine_making,Node;ACTIVITY,ACT.creative_hobbies.comic_zine_making,Comics & Zine Making,独立漫画与杂志制作,ACTIVITY,ACTIVITIES,2
