:START_ID,:END_ID,:TYPE,relation,kind
ACT.creative_hobbies,ACTIVITIES,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_filmmaking,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_filmmaking,ART.film,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.amateur_filmmaking.short_film_making,ACT.creative_hobbies.amateur_filmmaking,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_filmmaking.stop_motion_animation,ACT.creative_hobbies.amateur_filmmaking,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography,ART.visual_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.amateur_photography,OCC.media,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.amateur_photography.landscape_photography,ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography.macro_photography,ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography.portrait_photography,ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography.street_photography,ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.amateur_photography.wildlife_photography,ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.animation_hobby,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.animation_hobby,ART.film,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.blogging,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.blogging,OCC.media,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.comic_zine_making,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.content_creation,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.content_creation,ind.media_entertainment,RELATED_TO,RELATED_TO,explicit
ACT.creative_hobbies.creative_writing,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.creative_writing,ART.literary_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
ACT.creative_hobbies.creative_writing.fiction_writing,ACT.creative_hobbies.creative_writing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.creative_writing.poetry_writing,ACT.creative_hobbies.creative_writing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.creative_writing.screenwriting,ACT.creative_hobbies.creative_writing,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.digital_sculpting,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting,ACT.creative_hobbies,SUBTYPE_OF,SUBTYPE_OF,parent
ACT.creative_hobbies.drawing_painting,ART.visual_arts,OVERLAPS_WITH,OVERLAPS_WITH,explicit
