id,name,name_en,name_zh,type,parent,level,universe,description,historical,global
ACT.creative_hobbies,Creative & Media Hobbies,Creative & Media Hobbies,创作与媒体爱好,ACTIVITY,ACTIVITIES,1,ACTIVITIES,"Non-commercial creation of visual, written, audio, and video works for personal expression and online sharing.",0,1
ACT.creative_hobbies.amateur_filmmaking,Amateur Filmmaking,Amateur Filmmaking,业余电影制作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Producing short films and videos outside the commercial film industry.,0,1
ACT.creative_hobbies.amateur_filmmaking.short_film_making,Short Film Making,Short Film Making,短片制作,ACTIVITY,ACT.creative_hobbies.amateur_filmmaking,3,ACTIVITIES,"Writing, shooting, and editing short narrative or documentary films.",0,1
ACT.creative_hobbies.amateur_filmmaking.stop_motion_animation,Stop Motion Animation,Stop Motion Animation,定格动画,ACTIVITY,ACT.creative_hobbies.amateur_filmmaking,3,ACTIVITIES,Animating objects frame-by-frame through incremental poses.,0,1
ACT.creative_hobbies.amateur_photography,Amateur Photography,Amateur Photography,业余摄影,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Taking photographs for pleasure and personal expression rather than pay.,0,1
ACT.creative_hobbies.amateur_photography.landscape_photography,Landscape Photography,Landscape Photography,风光摄影,ACTIVITY,ACT.creative_hobbies.amateur_photography,3,ACTIVITIES,Photographing natural scenery and vistas.,0,1
ACT.creative_hobbies.amateur_photography.macro_photography,Macro Photography,Macro Photography,微距摄影,ACTIVITY,ACT.creative_hobbies.amateur_photography,3,ACTIVITIES,Photographing small subjects at extreme close range and high magnification.,0,1
ACT.creative_hobbies.amateur_photography.portrait_photography,Portrait Photography,Portrait Photography,人像摄影,ACTIVITY,ACT.creative_hobbies.amateur_photography,3,ACTIVITIES,Photographing people to capture personality and expression.,0,1
ACT.creative_hobbies.amateur_photography.street_photography,Street Photography,Street Photography,街拍,ACTIVITY,ACT.creative_hobbies.amateur_photography,3,ACTIVITIES,Capturing candid public scenes and everyday urban life.,0,1
ACT.creative_hobbies.amateur_photography.wildlife_photography,Wildlife Photography,Wildlife Photography,野生动物摄影,ACTIVITY,ACT.creative_hobbies.amateur_photography,3,ACTIVITIES,Photographing animals in their natural habitats.,0,1
ACT.creative_hobbies.animation_hobby,Animation Hobby,Animation Hobby,业余动画,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Creating animated films and clips independently.,0,1
ACT.creative_hobbies.blogging,Blogging,Blogging,博客写作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Writing and publishing regular posts on a personal weblog.,0,1
ACT.creative_hobbies.comic_zine_making,Comics & Zine Making,Comics & Zine Making,独立漫画与杂志制作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,"Self-publishing small-run comics, zines, and independent magazines.",0,1
ACT.creative_hobbies.content_creation,Content Creation,Content Creation,内容创作,ACTIVITY,ACT.creative_hobbies,2,ACTIVITIES,Producing and publishing digital media across platforms as a hobby.,0,1
