source,relation,target,kind
ACT.creative_hobbies,SUBTYPE_OF,ACTIVITIES,parent
ACT.creative_hobbies.amateur_filmmaking,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.amateur_filmmaking,OVERLAPS_WITH,ART.film,explicit
ACT.creative_hobbies.amateur_filmmaking.short_film_making,SUBTYPE_OF,ACT.creative_hobbies.amateur_filmmaking,parent
ACT.creative_hobbies.amateur_filmmaking.stop_motion_animation,SUBTYPE_OF,ACT.creative_hobbies.amateur_filmmaking,parent
ACT.creative_hobbies.amateur_photography,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.amateur_photography,OVERLAPS_WITH,ART.visual_arts,explicit
ACT.creative_hobbies.amateur_photography,RELATED_TO,OCC.media,explicit
ACT.creative_hobbies.amateur_photography.landscape_photography,SUBTYPE_OF,ACT.creative_hobbies.amateur_photography,parent
ACT.creative_hobbies.amateur_photography.macro_photography,SUBTYPE_OF,ACT.creative_hobbies.amateur_photography,parent
ACT.creative_hobbies.amateur_photography.portrait_photography,SUBTYPE_OF,ACT.creative_hobbies.amateur_photography,parent
ACT.creative_hobbies.amateur_photography.street_photography,SUBTYPE_OF,ACT.creative_hobbies.amateur_photography,parent
ACT.creative_hobbies.amateur_photography.wildlife_photography,SUBTYPE_OF,ACT.creative_hobbies.amateur_photography,parent
ACT.creative_hobbies.animation_hobby,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.animation_hobby,OVERLAPS_WITH,ART.film,explicit
ACT.creative_hobbies.blogging,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.blogging,RELATED_TO,OCC.media,explicit
ACT.creative_hobbies.comic_zine_making,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.content_creation,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.content_creation,RELATED_TO,ind.media_entertainment,explicit
ACT.creative_hobbies.creative_writing,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.creative_writing,OVERLAPS_WITH,ART.literary_arts,explicit
ACT.creative_hobbies.creative_writing.fiction_writing,SUBTYPE_OF,ACT.creative_hobbies.creative_writing,parent
ACT.creative_hobbies.creative_writing.poetry_writing,SUBTYPE_OF,ACT.creative_hobbies.creative_writing,parent
ACT.creative_hobbies.creative_writing.screenwriting,SUBTYPE_OF,ACT.creative_hobbies.creative_writing,parent
ACT.creative_hobbies.digital_sculpting,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.drawing_painting,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.drawing_painting,OVERLAPS_WITH,ART.visual_arts,explicit
ACT.creative_hobbies.drawing_painting.digital_painting,SUBTYPE_OF,ACT.creative_hobbies.drawing_painting,parent
ACT.creative_hobbies.drawing_painting.oil_painting,SUBTYPE_OF,ACT.creative_hobbies.drawing_painting,parent
ACT.creative_hobbies.drawing_painting.sketching,SUBTYPE_OF,ACT.creative_hobbies.drawing_painting,parent
ACT.creative_hobbies.drawing_painting.urban_sketching,SUBTYPE_OF,ACT.creative_hobbies.drawing_painting,parent
ACT.creative_hobbies.drawing_painting.watercolor_painting,SUBTYPE_OF,ACT.creative_hobbies.drawing_painting,parent
ACT.creative_hobbies.fan_art,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.fan_art,OVERLAPS_WITH,ART.visual_arts,explicit
ACT.creative_hobbies.fan_art,RELATED_TO,ACT.fandom_collecting.fandom,explicit
ACT.creative_hobbies.fan_fiction,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.fan_fiction,OVERLAPS_WITH,ART.literary_arts,explicit
ACT.creative_hobbies.fan_fiction,RELATED_TO,ACT.fandom_collecting.fandom,explicit
ACT.creative_hobbies.graphic_design_hobby,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.journaling,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.music_making,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.music_making,OVERLAPS_WITH,ART.music,explicit
ACT.creative_hobbies.music_making.beatmaking,SUBTYPE_OF,ACT.creative_hobbies.music_making,parent
ACT.creative_hobbies.music_making.electronic_music_production,SUBTYPE_OF,ACT.creative_hobbies.music_making,parent
ACT.creative_hobbies.music_making.home_recording,SUBTYPE_OF,ACT.creative_hobbies.music_making,parent
ACT.creative_hobbies.music_making.songwriting,SUBTYPE_OF,ACT.creative_hobbies.music_making,parent
ACT.creative_hobbies.pixel_art,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.podcasting_hobby,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.podcasting_hobby,RELATED_TO,OCC.media,explicit
ACT.creative_hobbies.streaming,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.streaming,RELATED_TO,OCC.media,explicit
ACT.creative_hobbies.streaming,RELATED_TO,ind.media_entertainment,explicit
ACT.creative_hobbies.streaming.game_streaming,SUBTYPE_OF,ACT.creative_hobbies.streaming,parent
ACT.creative_hobbies.vlogging,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.webcomic_creation,SUBTYPE_OF,ACT.creative_hobbies,parent
ACT.creative_hobbies.webcomic_creation,OVERLAPS_WITH,ART.visual_arts,explicit
ACT.domestic_garden,SUBTYPE_OF,ACTIVITIES,parent
ACT.domestic_garden.aquarium_keeping,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.aquarium_keeping.freshwater_aquarium,SUBTYPE_OF,ACT.domestic_garden.aquarium_keeping,parent
ACT.domestic_garden.aquarium_keeping.pond_keeping,SUBTYPE_OF,ACT.domestic_garden.aquarium_keeping,parent
ACT.domestic_garden.aquarium_keeping.reef_keeping,SUBTYPE_OF,ACT.domestic_garden.aquarium_keeping,parent
ACT.domestic_garden.backyard_poultry,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.beekeeping,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.beekeeping,RELATED_TO,OCC.agriculture,explicit
ACT.domestic_garden.birdwatching,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.cheese_making,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.coffee_roasting,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.composting,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.cooking_baking,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.cooking_baking.baking,SUBTYPE_OF,ACT.domestic_garden.cooking_baking,parent
ACT.domestic_garden.cooking_baking.bread_making,SUBTYPE_OF,ACT.domestic_garden.cooking_baking,parent
ACT.domestic_garden.cooking_baking.grilling_barbecue,SUBTYPE_OF,ACT.domestic_garden.cooking_baking,parent
ACT.domestic_garden.fermenting,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.fermenting.kombucha_brewing,SUBTYPE_OF,ACT.domestic_garden.fermenting,parent
ACT.domestic_garden.foraging,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.foraging.mushroom_hunting,SUBTYPE_OF,ACT.domestic_garden.foraging,parent
ACT.domestic_garden.gardening,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.gardening,RELATED_TO,ind.agriculture,explicit
ACT.domestic_garden.gardening.container_gardening,SUBTYPE_OF,ACT.domestic_garden.gardening,parent
ACT.domestic_garden.gardening.flower_gardening,SUBTYPE_OF,ACT.domestic_garden.gardening,parent
ACT.domestic_garden.herb_gardening,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.homebrewing,SUBTYPE_OF,ACT.domestic_garden,parent
ACT.domestic_garden.homebrewing.beer_brewing,SUBTYPE_OF,ACT.domestic_garden.homebrewing,parent
ACT.domestic_garden.homebrewing.winemaking,SUBTYPE_OF,ACT.domestic_garden.homebrewing,parent
ACT.domestic_garden.houseplants,SUBTYPE_OF,ACT.domestic_garden,parent
